Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.11092,0.2269,0.015298,0,0,0,0.09,5.8482E-05,-1.6736E-09,4.7094E-05,0.00010979,-1.587E-09,5.3475E-05,0,0,0,0,0,0,package://origaker_fix/meshes/base_link.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://origaker_fix/meshes/base_link.STL,,杆1-2-1;杆3-1-4;杆2-2-1;杆2-1-1;杆1-2-2;杆3-1-2;杆1-1-2;杆3-1-1;杆2-4-1;杆2-3-1;杆1-1-1;杆3-1-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tr1,0.023543,4.1633E-17,0.0074954,0,0,0,0.0049872,9.4073E-08,-1.4426E-21,-1.705E-21,1.2819E-06,1.3597E-23,1.2871E-06,0,0,0,0,0,0,package://origaker_fix/meshes/tr1.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/tr1.STL,,杆3-2-3,Origin_base_tr12,Axis_base_tr12,base_tr1,revolute,0.10342,-0.13222,0.219,8.0926E-05,-0.00068912,-0.87574,base_link,0,0,1,0,0,0,0,,,0.1,0.9,2,2,,0
tr2,0.027475,-2.7756E-17,-4.1633E-17,0,0,0,0.0057722,1.0716E-07,-1.3996E-21,2.106E-21,1.8999E-06,1.0588E-22,1.8889E-06,0,0,0,0,0,0,package://origaker_fix/meshes/tr2.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/tr2.STL,,杆3-3-3,Origin_tr1_tr22,Axis_tr1_tr22,tr1_tr2,continuous,0.046,0,0.0074954,0,-0.55267,0,tr1,0,1,0,,,,,,,,,,,,
tr3,0.051017,9.7145E-17,3.3307E-16,0,0,0,0.010354,1.5918E-07,-2.1497E-20,2.2433E-21,1.0346E-05,0,1.0338E-05,0,0,0,0,0,0,package://origaker_fix/meshes/tr3.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/tr3.STL,,杆3-4-3,Origin_tr2_tr32,Axis_tr2_tr32,tr2_tr3,continuous,0.05385,0,0,-3.1416,1.4466,-3.1416,tr2,0,1,0,,,,,,,,,,,,
tl1,0.023543,-1.0408E-17,0.0075,0,0,0,0.0049872,9.4073E-08,2.9779E-23,1.464E-21,1.2819E-06,-2.0994E-23,1.2871E-06,0,0,0,0,0,0,package://origaker_fix/meshes/tl1.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/tl1.STL,,杆3-2-1,Origin_base_tl12,Axis_base_tl12,base_tl1,continuous,-0.0054343,-0.028997,0.21894,0,0,2.5701,base_link,0,0,1,,,,,,,,,,,,
tl2,0.0274745365601647,-4.85722573273506E-17,-1.38777878078145E-17,0,0,0,0.00577218526001398,1.07155977089505E-07,1.2837843106823E-21,3.88774887899923E-22,1.89986326345428E-06,2.11758236813575E-22,1.88891037403168E-06,0,0,0,0,0,0,package://origaker_fix/meshes/tl2.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker_fix/meshes/tl2.STL,,杆3-3-1,Origin_tl1_tl22,Axis_tl1_tl22,tl1_tl2,continuous,0.046,0,0.0075,0,-0.88214,0,tl1,0,1,0,,,,,,,,,,,,
tl3,0.051017,3.8164E-17,1.8041E-16,0,0,0,0.010354,1.5918E-07,-1.2954E-20,-1.4972E-22,1.0346E-05,1.6941E-21,1.0338E-05,0,0,0,0,0,0,package://origaker_fix/meshes/tl3.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/tl3.STL,,杆3-4-1,Origin_tl2_tl32,Axis_tl2_tl32,tl2_tl3,continuous,0.0538500000000001,0,0,-3.14159265358979,0.86132356853803,-3.14159265358979,tl2,0,1,0,,,,,,,,,,,,
br1,0.023543,-2.7756E-17,0.0074964,0,0,0,0.0049872,9.4073E-08,9.4629E-22,-2.5426E-22,1.2819E-06,1.1115E-24,1.2871E-06,0,0,0,0,0,0,package://origaker_fix/meshes/br1.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/br1.STL,,杆3-2-4,Origin_base_br12,Axis_base_br12,base_br1,continuous,0.22727,-0.0016027,0.219,0.00019673,-0.00066538,-1.0463,base_link,0,0,1,,,,,,,,,,,,
br2,0.0274745365601647,5.55111512312578E-17,6.93889390390723E-18,0,0,0,0.00577218526001398,1.07155977089505E-07,8.99972506457694E-22,-1.73377056391115E-21,1.89986326345429E-06,5.29395592033938E-23,1.88891037403168E-06,0,0,0,0,0,0,package://origaker_fix/meshes/br2.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker_fix/meshes/br2.STL,,杆3-3-4,Origin_br1_br22,Axis_br1_br22,br1_br2,continuous,0.046,0,0.0074964,0,-0.73787,0,br1,0,1,0,,,,,,,,,,,,
br3,0.051017,1.9429E-16,4.996E-16,0,0,0,0.010354,1.5918E-07,1.9369E-20,-1.0906E-20,1.0346E-05,-8.4703E-22,1.0338E-05,0,0,0,0,0,0,package://origaker_fix/meshes/br3.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/br3.STL,,杆3-4-4,Origin_br2_br32,Axis_br2_br32,br2_br3,continuous,0.0538500000000001,0,0,3.14159265358978,1.34797513741177,3.14159265358978,br2,0,1,0,,,,,,,,,,,,
bl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://origaker_fix/meshes/bl1.STL,1,1,1,1,0,0,0,0,0,0,package://origaker_fix/meshes/bl1.STL,,杆3-2-2,Origin_base_bl12,Axis_base_bl12,base_bl1,continuous,0.11842,0.10162,0.21894,0,0,2.4692,base_link,0,0,1,,,,,,,,,,,,
bl2,0.027475,1.2245E-10,1.3878E-17,0,0,0,0.0057722,1.0716E-07,-7.99E-15,1.1051E-21,1.8999E-06,-3.6039E-17,1.8889E-06,0,0,0,0,0,0,package://origaker_fix/meshes/bl2.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/bl2.STL,,杆3-3-2,Origin_bl1_bl22,Axis_bl1_bl22,bl1_bl2,continuous,0.046,0,0.0075,0,-0.93485,0,bl1,0,1,0,,,,,,,,,,,,
bl3,0.051017,-2.7047E-10,0,0,0,0,0.010354,1.5918E-07,5.4006E-14,-4.8638E-21,1.0346E-05,-1.2961E-17,1.0338E-05,0,0,0,0,0,0,package://origaker_fix/meshes/bl3.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://origaker_fix/meshes/bl3.STL,,杆3-4-2,Origin_bl2_bl32,Axis_bl2_bl32,bl2_bl3,continuous,0.05385,0,0,3.1416,0.9303,-3.1416,bl2,0,1,0,,,,,,,,,,,,
